classifier_name,dataset_name,accuracy
SPARTAN,InlineSkate,0.7500433803484652
SAX,InsectEPGRegularTrain,0.5715568924385438
SFA,InsectEPGRegularTrain,0.606613421844207
SPARTAN,InsectEPGRegularTrain,0.5917456695363552
SAX,InsectEPGSmallTrain,0.5713207547169811
SFA,InsectEPGSmallTrain,0.6139821251241311
SPARTAN,InsectEPGSmallTrain,0.605504326854873
SAX,InsectWingbeatSound,0.8131006242506924
SFA,InsectWingbeatSound,0.8564648807309106
SPARTAN,InsectWingbeatSound,0.8740338170242671
SAX,ItalyPowerDemand,0.4996500349965004
SFA,ItalyPowerDemand,0.6493295670432956
SPARTAN,ItalyPowerDemand,0.6184478218844781
SAX,LargeKitchenAppliances,0.5699339563862929
SFA,LargeKitchenAppliances,0.5571061860258122
SPARTAN,LargeKitchenAppliances,0.5530011570983534
SAX,Lightning2,0.5429752066115704
SFA,Lightning2,0.502754820936639
SPARTAN,Lightning2,0.5057851239669422
SAX,Lightning7,0.7979907416527133
SFA,Lightning7,0.8076529104698119
SPARTAN,Lightning7,0.8110804688269477
SAX,Mallat,0.6912605252188412
SFA,Mallat,0.9010397040433512
SPARTAN,Mallat,0.9620615186883424
SAX,Meat,0.339187675070028
SFA,Meat,0.7062464985994398
SPARTAN,Meat,0.7733613445378151
SAX,MedicalImages,0.641610006611621
SFA,MedicalImages,0.6675038824054
SPARTAN,MedicalImages,0.6722391869243661
SAX,MelbournePedestrian,0.7327016725052171
SFA,MelbournePedestrian,0.8574642199320716
SPARTAN,MelbournePedestrian,0.867466178241305
SAX,MiddlePhalanxOutlineAgeGroup,0.6800190624163571
SFA,MiddlePhalanxOutlineAgeGroup,0.6443410083495996
SPARTAN,MiddlePhalanxOutlineAgeGroup,0.6395068579001312
SAX,MiddlePhalanxOutlineCorrect,0.5004981147303245
SFA,MiddlePhalanxOutlineCorrect,0.4995281151086394
SPARTAN,MiddlePhalanxOutlineCorrect,0.5008446512566364
SAX,MiddlePhalanxTW,0.6770828419425008
SFA,MiddlePhalanxTW,0.738639043949996
SPARTAN,MiddlePhalanxTW,0.761872002515921
SAX,MixedShapesRegularTrain,0.6939669344183709
SFA,MixedShapesRegularTrain,0.7745638219509627
SPARTAN,MixedShapesRegularTrain,0.7523726074806787
SAX,MixedShapesSmallTrain,0.6950803533602171
SFA,MixedShapesSmallTrain,0.7637890822362744
SPARTAN,MixedShapesSmallTrain,0.7590408749274293
SAX,MoteStrain,0.6459975555324633
SFA,MoteStrain,0.5528707648610266
SPARTAN,MoteStrain,0.7089962838155467
SAX,NonInvasiveFetalECGThorax1,0.8812649367108258
SFA,NonInvasiveFetalECGThorax1,0.9582875723461096
SPARTAN,NonInvasiveFetalECGThorax1,0.960999530041365
SAX,NonInvasiveFetalECGThorax2,0.8534132263013126
SFA,NonInvasiveFetalECGThorax2,0.9586425816394358
SPARTAN,NonInvasiveFetalECGThorax2,0.9625690225283774
SAX,OSULeaf,0.7111429187059439
SFA,OSULeaf,0.7219072244282329
SPARTAN,OSULeaf,0.7432419121494751
SAX,OliveOil,0.3263276836158192
SFA,OliveOil,0.7815819209039548
SPARTAN,OliveOil,0.7713559322033898
SAX,PLAID,0.7578103821409543
SFA,PLAID,0.8325811652530973
SPARTAN,PLAID,0.8467618070777385
SAX,PhalangesOutlinesCorrect,0.5119463812528089
SFA,PhalangesOutlinesCorrect,0.5038231421861358
SPARTAN,PhalangesOutlinesCorrect,0.502415160147408
SAX,Phoneme,0.8798983368501953
SFA,Phoneme,0.9235609518223636
SPARTAN,Phoneme,0.9274561965307786
SAX,PickupGestureWiimoteZ,0.8682020202020201
SFA,PickupGestureWiimoteZ,0.866040404040404
SPARTAN,PickupGestureWiimoteZ,0.8591111111111112
SAX,PigAirwayPressure,0.9411884739055156
SFA,PigAirwayPressure,0.9546335229614972
SPARTAN,PigAirwayPressure,0.9561587929755132
SAX,PigArtPressure,0.8710920108830076
SFA,PigArtPressure,0.9657123423200592
SPARTAN,PigArtPressure,0.9663677961909471
SAX,PigCVP,0.8994105037513398
SFA,PigCVP,0.9617487014593123
SPARTAN,PigCVP,0.9653351471679444
SAX,Plane,0.7454727728411938
SFA,Plane,0.8564456596035542
SPARTAN,Plane,0.9325996810207337
SAX,PowerCons,0.5562890745899102
SFA,PowerCons,0.5246843082636954
SPARTAN,PowerCons,0.5660662333642834
SAX,ProximalPhalanxOutlineAgeGroup,0.6211756335175963
SFA,ProximalPhalanxOutlineAgeGroup,0.5960385310054185
SPARTAN,ProximalPhalanxOutlineAgeGroup,0.6298358053746375
SAX,ProximalPhalanxOutlineCorrect,0.5092901549830389
SFA,ProximalPhalanxOutlineCorrect,0.5019831271516664
SPARTAN,ProximalPhalanxOutlineCorrect,0.5279304909267456
SAX,ProximalPhalanxTW,0.624697060916206
SFA,ProximalPhalanxTW,0.7192715231788079
SPARTAN,ProximalPhalanxTW,0.723212741502928
SAX,RefrigerationDevices,0.5436051624388072
SFA,RefrigerationDevices,0.5453493546951492
SPARTAN,RefrigerationDevices,0.5419866488651535
SAX,Rock,0.6344927536231884
SFA,Rock,0.6881573498964804
SPARTAN,Rock,0.7175983436853002
SAX,ScreenType,0.5537733867378727
SFA,ScreenType,0.5584213618157543
SPARTAN,ScreenType,0.5650947930574098
SAX,SemgHandGenderCh2,0.5251197626992956
SFA,SemgHandGenderCh2,0.5074744778148561
SPARTAN,SemgHandGenderCh2,0.5540496848350018
SAX,SemgHandMovementCh2,0.6825707576319366
SFA,SemgHandMovementCh2,0.746915090841676
SPARTAN,SemgHandMovementCh2,0.7468651588184402
SAX,SemgHandSubjectCh2,0.6625410950438759
SFA,SemgHandSubjectCh2,0.7245077246323074
SPARTAN,SemgHandSubjectCh2,0.7373733778272153
SAX,ShakeGestureWiimoteZ,0.8541212121212121
SFA,ShakeGestureWiimoteZ,0.8715151515151515
