,dataset,a,w,method,tlb
274,Wine,9,4,SPARTAN,0.575926787613486
275,Wine,10,4,SAX,0.0185185185185185
276,Wine,10,4,SFA,0.3764328448088979
278,Wine,10,4,SPARTAN_woDAA,0.5623330026326663
279,Wine,10,4,SPARTAN,0.5817697545271759
280,Wine,4,5,SAX,0.0185185185185185
281,Wine,4,5,SFA,0.2040253856723841
283,Wine,4,5,SPARTAN_woDAA,0.2563942505784368
284,Wine,4,5,SPARTAN,0.4567612665737313
285,Wine,5,5,SAX,0.0185185185185185
286,Wine,5,5,SFA,0.282075120966176
288,Wine,5,5,SPARTAN_woDAA,0.31313666350489
289,Wine,5,5,SPARTAN,0.4732998045362374
290,Wine,6,5,SAX,0.0185185185185185
291,Wine,6,5,SFA,0.3156491071158953
293,Wine,6,5,SPARTAN_woDAA,0.3837396068246629
294,Wine,6,5,SPARTAN,0.4809480699892686
295,Wine,7,5,SAX,0.0185185185185185
296,Wine,7,5,SFA,0.3434209158496732
298,Wine,7,5,SPARTAN_woDAA,0.4606166923492716
299,Wine,7,5,SPARTAN,0.4969318905759372
300,Wine,8,5,SAX,0.0185185185185185
301,Wine,8,5,SFA,0.3693777443633196
303,Wine,8,5,SPARTAN_woDAA,0.5007556275446093
304,Wine,8,5,SPARTAN,0.5917237208794515
305,Wine,9,5,SAX,0.0185185185185185
306,Wine,9,5,SFA,0.3965708312314919
308,Wine,9,5,SPARTAN_woDAA,0.522504011851331
309,Wine,9,5,SPARTAN,0.5917237208794515
310,Wine,10,5,SAX,0.0185185185185185
311,Wine,10,5,SFA,0.4171418041851817
313,Wine,10,5,SPARTAN_woDAA,0.570411176960983
314,Wine,10,5,SPARTAN,0.5948798552457845
315,Wine,4,6,SAX,0.0185185185185185
316,Wine,4,6,SFA,0.2070321818934232
318,Wine,4,6,SPARTAN_woDAA,0.2599134685109558
319,Wine,4,6,SPARTAN,0.4732998045362374
320,Wine,5,6,SAX,0.0185185185185185
321,Wine,5,6,SFA,0.2856212626681493
323,Wine,5,6,SPARTAN_woDAA,0.3162078673454426
324,Wine,5,6,SPARTAN,0.4809480699892686
325,Wine,6,6,SAX,0.0185185185185185
326,Wine,6,6,SFA,0.3190802516586833
328,Wine,6,6,SPARTAN_woDAA,0.3872247832174951
329,Wine,6,6,SPARTAN,0.4969318905759372
330,Wine,7,6,SAX,0.0185185185185185
331,Wine,7,6,SFA,0.351872715173649
333,Wine,7,6,SPARTAN_woDAA,0.4639050929455847
334,Wine,7,6,SPARTAN,0.4983999475335457
335,Wine,8,6,SAX,0.0185185185185185
336,Wine,8,6,SFA,0.3772454545036041
338,Wine,8,6,SPARTAN_woDAA,0.5037975730103853
339,Wine,8,6,SPARTAN,0.6033690593959089
340,Wine,9,6,SAX,0.0185185185185185
341,Wine,9,6,SFA,0.4052882142703954
343,Wine,9,6,SPARTAN_woDAA,0.525917252946254
344,Wine,9,6,SPARTAN,0.6061376047911781
345,Wine,10,6,SAX,0.0185185185185185
346,Wine,10,6,SFA,0.4259616909429215
348,Wine,10,6,SPARTAN_woDAA,0.574138100524978
349,Wine,10,6,SPARTAN,0.6061376047911781
350,Wine,4,7,SAX,0.0185185185185185
351,Wine,4,7,SFA,0.2108031164880193
353,Wine,4,7,SPARTAN_woDAA,0.2621338826942489
354,Wine,4,7,SPARTAN,0.4809480699892686
355,Wine,5,7,SAX,0.0185185185185185
356,Wine,5,7,SFA,0.2896384704122988
358,Wine,5,7,SPARTAN_woDAA,0.3179026161908859
359,Wine,5,7,SPARTAN,0.4969318905759372
360,Wine,6,7,SAX,0.0185185185185185
361,Wine,6,7,SFA,0.3233756686424914
363,Wine,6,7,SPARTAN_woDAA,0.3890161899203224
364,Wine,6,7,SPARTAN,0.4991415093261551
365,Wine,7,7,SAX,0.0185185185185185
366,Wine,7,7,SFA,0.3605209668847188
368,Wine,7,7,SPARTAN_woDAA,0.4656725491901557
369,Wine,7,7,SPARTAN,0.5028724684012512
370,Wine,8,7,SAX,0.0185185185185185
371,Wine,8,7,SFA,0.3861800312570012
373,Wine,8,7,SPARTAN_woDAA,0.5053752792803156
374,Wine,8,7,SPARTAN,0.6071343937349182
375,Wine,9,7,SAX,0.0185185185185185
376,Wine,9,7,SFA,0.4194401708139536
378,Wine,9,7,SPARTAN_woDAA,0.527471471110535
379,Wine,9,7,SPARTAN,0.6076200013323363
380,Wine,10,7,SAX,0.0185185185185185
381,Wine,10,7,SFA,0.4393919975097243
383,Wine,10,7,SPARTAN_woDAA,0.5755850893156435
384,Wine,10,7,SPARTAN,0.6179368559023103
385,Wine,4,8,SAX,0.0185185185185185
386,Wine,4,8,SFA,0.2206905862898588
388,Wine,4,8,SPARTAN_woDAA,0.2656149434336775
389,Wine,4,8,SPARTAN,0.4855012419753158
390,Wine,5,8,SAX,0.0185185185185185
391,Wine,5,8,SFA,0.2975269963339933
393,Wine,5,8,SPARTAN_woDAA,0.3209167225653719
394,Wine,5,8,SPARTAN,0.4983999475335457
395,Wine,6,8,SAX,0.0185185185185185
396,Wine,6,8,SFA,0.3329543095448822
398,Wine,6,8,SPARTAN_woDAA,0.3922974996974999
399,Wine,6,8,SPARTAN,0.5028724684012512
400,Wine,7,8,SAX,0.0185185185185185
401,Wine,7,8,SFA,0.3758001935365982
403,Wine,7,8,SPARTAN_woDAA,0.4688710968673241
404,Wine,7,8,SPARTAN,0.5058184624416904
405,Wine,8,8,SAX,0.0185185185185185
406,Wine,8,8,SFA,0.4014684723743689
408,Wine,8,8,SPARTAN_woDAA,0.508631788072249
409,Wine,8,8,SPARTAN,0.6085837548333074
410,Wine,9,8,SAX,0.0185185185185185
411,Wine,9,8,SFA,0.4341304640377069
413,Wine,9,8,SPARTAN_woDAA,0.5311013702356184
414,Wine,9,8,SPARTAN,0.6188477690433913
415,Wine,10,8,SAX,0.0185185185185185
416,Wine,10,8,SFA,0.4544670885902446
418,Wine,10,8,SPARTAN_woDAA,0.5788798350966451
419,Wine,10,8,SPARTAN,0.6200350693370433
420,Wine,4,9,SAX,0.0185185185185185
421,Wine,4,9,SFA,0.2247668134476123
423,Wine,4,9,SPARTAN_woDAA,0.267802094039322
424,Wine,4,9,SPARTAN,0.4969318905759372
425,Wine,5,9,SAX,0.0185185185185185
426,Wine,5,9,SFA,0.3020665633962986
428,Wine,5,9,SPARTAN_woDAA,0.3230503223407575
429,Wine,5,9,SPARTAN,0.4991415093261551
430,Wine,6,9,SAX,0.0185185185185185
431,Wine,6,9,SFA,0.336830099149176
433,Wine,6,9,SPARTAN_woDAA,0.3947256783823762
434,Wine,6,9,SPARTAN,0.5054208497667886
435,Wine,7,9,SAX,0.0185185185185185
436,Wine,7,9,SFA,0.3814221201880496
438,Wine,7,9,SPARTAN_woDAA,0.4712792018970102
439,Wine,7,9,SPARTAN,0.5078230908891819
440,Wine,8,9,SAX,0.0185185185185185
441,Wine,8,9,SFA,0.4057744994693891
443,Wine,8,9,SPARTAN_woDAA,0.5112315056676036
444,Wine,8,9,SPARTAN,0.6200350693370433
445,Wine,9,9,SAX,0.0185185185185185
446,Wine,9,9,SFA,0.4390269997707823
448,Wine,9,9,SPARTAN_woDAA,0.5336954635186479
449,Wine,9,9,SPARTAN,0.6207562811247126
450,Wine,10,9,SAX,0.0185185185185185
451,Wine,10,9,SFA,0.4598659063619759
453,Wine,10,9,SPARTAN_woDAA,0.5815025566480893
454,Wine,10,9,SPARTAN,0.626113921930029
455,Wine,4,10,SAX,0.0185185185185185
456,Wine,4,10,SFA,0.2377303010169361
458,Wine,4,10,SPARTAN_woDAA,0.2693651346718393
459,Wine,4,10,SPARTAN,0.4983999475335457
460,Wine,5,10,SAX,0.0185185185185185
461,Wine,5,10,SFA,0.3152600128324364
463,Wine,5,10,SPARTAN_woDAA,0.3243786062408912
464,Wine,5,10,SPARTAN,0.5042657049936001
465,Wine,6,10,SAX,0.0185185185185185
466,Wine,6,10,SFA,0.3521903249598832
468,Wine,6,10,SPARTAN_woDAA,0.3960003019524614
469,Wine,6,10,SPARTAN,0.5060332147198306
470,Wine,7,10,SAX,0.0185185185185185
471,Wine,7,10,SFA,0.3958037233536266
473,Wine,7,10,SPARTAN_woDAA,0.4725045459510242
474,Wine,7,10,SPARTAN,0.5103123420485112
475,Wine,8,10,SAX,0.0185185185185185
476,Wine,8,10,SFA,0.4229642624743193
478,Wine,8,10,SPARTAN_woDAA,0.5126656860198036
479,Wine,8,10,SPARTAN,0.626113921930029
480,Wine,9,10,SAX,0.0185185185185185
481,Wine,9,10,SFA,0.4595853350611532
483,Wine,9,10,SPARTAN_woDAA,0.5353444419157479
484,Wine,9,10,SPARTAN,0.6274808553545811
485,Wine,10,10,SAX,0.0185185185185185
486,Wine,10,10,SFA,0.4796509007941877
488,Wine,10,10,SPARTAN_woDAA,0.5835068008101355
489,Wine,10,10,SPARTAN,0.6286472243608529
490,DodgerLoopGame,4,4,SAX,0.033323777435008
491,DodgerLoopGame,4,4,SFA,0.1542894282367207
493,DodgerLoopGame,4,4,SPARTAN_woDAA,0.1958387882385395
494,DodgerLoopGame,4,4,SPARTAN,0.2492523812678006
495,DodgerLoopGame,5,4,SAX,0.0148796682484242
496,DodgerLoopGame,5,4,SFA,0.1978712250262804
498,DodgerLoopGame,5,4,SPARTAN_woDAA,0.2112284403877862
499,DodgerLoopGame,5,4,SPARTAN,0.2548035804321813
500,DodgerLoopGame,6,4,SAX,0.0983240769673555
501,DodgerLoopGame,6,4,SFA,0.2195928884184241
503,DodgerLoopGame,6,4,SPARTAN_woDAA,0.2377782767495831
504,DodgerLoopGame,6,4,SPARTAN,0.299700690737179
505,DodgerLoopGame,7,4,SAX,0.1107497555938576
506,DodgerLoopGame,7,4,SFA,0.2436693088046467
508,DodgerLoopGame,7,4,SPARTAN_woDAA,0.2956455262377409
509,DodgerLoopGame,7,4,SPARTAN,0.3081087861935762
510,DodgerLoopGame,8,4,SAX,0.1097014762237761
511,DodgerLoopGame,8,4,SFA,0.2536063226235907
513,DodgerLoopGame,8,4,SPARTAN_woDAA,0.3118356054770552
514,DodgerLoopGame,8,4,SPARTAN,0.3285684296061981
515,DodgerLoopGame,9,4,SAX,0.1364551620980538
516,DodgerLoopGame,9,4,SFA,0.2629594708531001
518,DodgerLoopGame,9,4,SPARTAN_woDAA,0.3160207993756039
519,DodgerLoopGame,9,4,SPARTAN,0.3285684296061981
520,DodgerLoopGame,10,4,SAX,0.1461279242375193
521,DodgerLoopGame,10,4,SFA,0.2803986787245862
523,DodgerLoopGame,10,4,SPARTAN_woDAA,0.3114935883045425
524,DodgerLoopGame,10,4,SPARTAN,0.3319373571575782
525,DodgerLoopGame,4,5,SAX,0.1021617658411056
526,DodgerLoopGame,4,5,SFA,0.1639314126620084
528,DodgerLoopGame,4,5,SPARTAN_woDAA,0.2007001734519248
529,DodgerLoopGame,4,5,SPARTAN,0.2548035804321813
530,DodgerLoopGame,5,5,SAX,0.0925383321287058
531,DodgerLoopGame,5,5,SFA,0.2159119229652491
533,DodgerLoopGame,5,5,SPARTAN_woDAA,0.2160677558966652
534,DodgerLoopGame,5,5,SPARTAN,0.299700690737179
535,DodgerLoopGame,6,5,SAX,0.1198857770562982
536,DodgerLoopGame,6,5,SFA,0.2373112255239433
538,DodgerLoopGame,6,5,SPARTAN_woDAA,0.2427609901150277
539,DodgerLoopGame,6,5,SPARTAN,0.3026340993320696
540,DodgerLoopGame,7,5,SAX,0.172028066189115
541,DodgerLoopGame,7,5,SFA,0.2622939544359027
543,DodgerLoopGame,7,5,SPARTAN_woDAA,0.3015388828077792
544,DodgerLoopGame,7,5,SPARTAN,0.314264996337687
545,DodgerLoopGame,8,5,SAX,0.1798411751312764
546,DodgerLoopGame,8,5,SFA,0.2718009662959743
548,DodgerLoopGame,8,5,SPARTAN_woDAA,0.3171213357405183
549,DodgerLoopGame,8,5,SPARTAN,0.3341078593954201
550,DodgerLoopGame,9,5,SAX,0.19552025290201
551,DodgerLoopGame,9,5,SFA,0.2818457234484763
553,DodgerLoopGame,9,5,SPARTAN_woDAA,0.3209610851991645
554,DodgerLoopGame,9,5,SPARTAN,0.3341078593954201
555,DodgerLoopGame,10,5,SAX,0.2129433275587927
556,DodgerLoopGame,10,5,SFA,0.3010382509546199
558,DodgerLoopGame,10,5,SPARTAN_woDAA,0.316053109166201
559,DodgerLoopGame,10,5,SPARTAN,0.3464684974068461
560,DodgerLoopGame,4,6,SAX,0.0289657543023771
561,DodgerLoopGame,4,6,SFA,0.177624252061841
563,DodgerLoopGame,4,6,SPARTAN_woDAA,0.2035768245974894
564,DodgerLoopGame,4,6,SPARTAN,0.299700690737179
565,DodgerLoopGame,5,6,SAX,0.0635710673175068
566,DodgerLoopGame,5,6,SFA,0.2296581102694642
568,DodgerLoopGame,5,6,SPARTAN_woDAA,0.2205096205449243
569,DodgerLoopGame,5,6,SPARTAN,0.3026340993320696
570,DodgerLoopGame,6,6,SAX,0.1203605543563833
571,DodgerLoopGame,6,6,SFA,0.2558249004477061
573,DodgerLoopGame,6,6,SPARTAN_woDAA,0.2472737828792956
574,DodgerLoopGame,6,6,SPARTAN,0.3122509628283479
575,DodgerLoopGame,7,6,SAX,0.1052707264051896
576,DodgerLoopGame,7,6,SFA,0.2796799551028017
578,DodgerLoopGame,7,6,SPARTAN_woDAA,0.3056243297785982
579,DodgerLoopGame,7,6,SPARTAN,0.315791731746497
580,DodgerLoopGame,8,6,SAX,0.116315554939118
581,DodgerLoopGame,8,6,SFA,0.2913680318388476
583,DodgerLoopGame,8,6,SPARTAN_woDAA,0.3210064600203225
584,DodgerLoopGame,8,6,SPARTAN,0.3478093826304414
585,DodgerLoopGame,9,6,SAX,0.1496834481204002
586,DodgerLoopGame,9,6,SFA,0.3023167633772918
588,DodgerLoopGame,9,6,SPARTAN_woDAA,0.3271228629647607
589,DodgerLoopGame,9,6,SPARTAN,0.3501958816401844
590,DodgerLoopGame,10,6,SAX,0.1773336215050097
591,DodgerLoopGame,10,6,SFA,0.3203022768635123
593,DodgerLoopGame,10,6,SPARTAN_woDAA,0.3212681764973129
594,DodgerLoopGame,10,6,SPARTAN,0.3501958816401844
595,DodgerLoopGame,4,7,SAX,0.1201231816763338
596,DodgerLoopGame,4,7,SFA,0.1856923539300669
598,DodgerLoopGame,4,7,SPARTAN_woDAA,0.2056178944046637
599,DodgerLoopGame,4,7,SPARTAN,0.3026340993320696
600,DodgerLoopGame,5,7,SAX,0.1545064545488386
601,DodgerLoopGame,5,7,SFA,0.2369944812004314
603,DodgerLoopGame,5,7,SPARTAN_woDAA,0.2255011413611979
604,DodgerLoopGame,5,7,SPARTAN,0.3056835813041812
605,DodgerLoopGame,6,7,SAX,0.1717638681727916
606,DodgerLoopGame,6,7,SFA,0.2631921354527122
608,DodgerLoopGame,6,7,SPARTAN_woDAA,0.2529176354466784
609,DodgerLoopGame,6,7,SPARTAN,0.3168911317070798
610,DodgerLoopGame,7,7,SAX,0.1830114877105044
611,DodgerLoopGame,7,7,SFA,0.2870482696185618
613,DodgerLoopGame,7,7,SPARTAN_woDAA,0.3102266408760965
614,DodgerLoopGame,7,7,SPARTAN,0.3196948090007819
615,DodgerLoopGame,8,7,SAX,0.2007743913534504
616,DodgerLoopGame,8,7,SFA,0.2986671088300195
618,DodgerLoopGame,8,7,SPARTAN_woDAA,0.3260289025528209
619,DodgerLoopGame,8,7,SPARTAN,0.3511666952781489
