dataset,a,w,method,tlb,param
Wine,9,4,spartan,0.575926787613486,dp_debug-reg7-delta0.5
Wine,10,4,sax,0.0185185185185185,none
Wine,10,4,sfa,0.3764328448088979,none
Wine,10,4,sfa,0.3913798126001669,var
Wine,10,4,spartan,0.5623330026326663,woDAA
Wine,10,4,spartan,0.5817697545271759,dp_debug-reg7-delta0.5
Wine,4,5,sax,0.0185185185185185,none
Wine,4,5,sfa,0.2040253856723841,none
Wine,4,5,sfa,0.2054634499724752,var
Wine,4,5,spartan,0.2563942505784368,woDAA
Wine,4,5,spartan,0.4567612665737313,dp_debug-reg7-delta0.5
Wine,5,5,sax,0.0185185185185185,none
Wine,5,5,sfa,0.282075120966176,none
Wine,5,5,sfa,0.2736641226349515,var
Wine,5,5,spartan,0.31313666350489,woDAA
Wine,5,5,spartan,0.4732998045362374,dp_debug-reg7-delta0.5
Wine,6,5,sax,0.0185185185185185,none
Wine,6,5,sfa,0.3156491071158953,none
Wine,6,5,sfa,0.3106077634154099,var
Wine,6,5,spartan,0.3837396068246629,woDAA
Wine,6,5,spartan,0.4809480699892686,dp_debug-reg7-delta0.5
Wine,7,5,sax,0.0185185185185185,none
Wine,7,5,sfa,0.3434209158496732,none
Wine,7,5,sfa,0.34173882381474,var
Wine,7,5,spartan,0.4606166923492716,woDAA
Wine,7,5,spartan,0.4969318905759372,dp_debug-reg7-delta0.5
Wine,8,5,sax,0.0185185185185185,none
Wine,8,5,sfa,0.3693777443633196,none
Wine,8,5,sfa,0.3719506697797464,var
Wine,8,5,spartan,0.5007556275446093,woDAA
Wine,8,5,spartan,0.5917237208794515,dp_debug-reg7-delta0.5
Wine,9,5,sax,0.0185185185185185,none
Wine,9,5,sfa,0.3965708312314919,none
Wine,9,5,sfa,0.397595527075288,var
Wine,9,5,spartan,0.522504011851331,woDAA
Wine,9,5,spartan,0.5917237208794515,dp_debug-reg7-delta0.5
Wine,10,5,sax,0.0185185185185185,none
Wine,10,5,sfa,0.4171418041851817,none
Wine,10,5,sfa,0.4181372112412786,var
Wine,10,5,spartan,0.570411176960983,woDAA
Wine,10,5,spartan,0.5948798552457845,dp_debug-reg7-delta0.5
Wine,4,6,sax,0.0185185185185185,none
Wine,4,6,sfa,0.2070321818934232,none
Wine,4,6,sfa,0.2178372145769455,var
Wine,4,6,spartan,0.2599134685109558,woDAA
Wine,4,6,spartan,0.4732998045362374,dp_debug-reg7-delta0.5
Wine,5,6,sax,0.0185185185185185,none
Wine,5,6,sfa,0.2856212626681493,none
Wine,5,6,sfa,0.2851201705176636,var
Wine,5,6,spartan,0.3162078673454426,woDAA
Wine,5,6,spartan,0.4809480699892686,dp_debug-reg7-delta0.5
Wine,6,6,sax,0.0185185185185185,none
Wine,6,6,sfa,0.3190802516586833,none
Wine,6,6,sfa,0.3242611116954167,var
Wine,6,6,spartan,0.3872247832174951,woDAA
Wine,6,6,spartan,0.4969318905759372,dp_debug-reg7-delta0.5
Wine,7,6,sax,0.0185185185185185,none
Wine,7,6,sfa,0.351872715173649,none
Wine,7,6,sfa,0.3523963364777462,var
Wine,7,6,spartan,0.4639050929455847,woDAA
Wine,7,6,spartan,0.4983999475335457,dp_debug-reg7-delta0.5
Wine,8,6,sax,0.0185185185185185,none
Wine,8,6,sfa,0.3772454545036041,none
Wine,8,6,sfa,0.387888261991834,var
Wine,8,6,spartan,0.5037975730103853,woDAA
Wine,8,6,spartan,0.6033690593959089,dp_debug-reg7-delta0.5
Wine,9,6,sax,0.0185185185185185,none
Wine,9,6,sfa,0.4052882142703954,none
Wine,9,6,sfa,0.4146456610017113,var
Wine,9,6,spartan,0.525917252946254,woDAA
Wine,9,6,spartan,0.6061376047911781,dp_debug-reg7-delta0.5
Wine,10,6,sax,0.0185185185185185,none
Wine,10,6,sfa,0.4259616909429215,none
Wine,10,6,sfa,0.4345432105703833,var
Wine,10,6,spartan,0.574138100524978,woDAA
Wine,10,6,spartan,0.6061376047911781,dp_debug-reg7-delta0.5
Wine,4,7,sax,0.0185185185185185,none
Wine,4,7,sfa,0.2108031164880193,none
Wine,4,7,sfa,0.2124857958905044,var
Wine,4,7,spartan,0.2621338826942489,woDAA
Wine,4,7,spartan,0.4809480699892686,dp_debug-reg7-delta0.5
Wine,5,7,sax,0.0185185185185185,none
Wine,5,7,sfa,0.2896384704122988,none
Wine,5,7,sfa,0.2821210550025672,var
Wine,5,7,spartan,0.3179026161908859,woDAA
Wine,5,7,spartan,0.4969318905759372,dp_debug-reg7-delta0.5
Wine,6,7,sax,0.0185185185185185,none
Wine,6,7,sfa,0.3233756686424914,none
Wine,6,7,sfa,0.3190225014194616,var
Wine,6,7,spartan,0.3890161899203224,woDAA
Wine,6,7,spartan,0.4991415093261551,dp_debug-reg7-delta0.5
Wine,7,7,sax,0.0185185185185185,none
Wine,7,7,sfa,0.3605209668847188,none
Wine,7,7,sfa,0.3600624167892555,var
Wine,7,7,spartan,0.4656725491901557,woDAA
Wine,7,7,spartan,0.5028724684012512,dp_debug-reg7-delta0.5
Wine,8,7,sax,0.0185185185185185,none
Wine,8,7,sfa,0.3861800312570012,none
Wine,8,7,sfa,0.3893265727066353,var
Wine,8,7,spartan,0.5053752792803156,woDAA
Wine,8,7,spartan,0.6071343937349182,dp_debug-reg7-delta0.5
Wine,9,7,sax,0.0185185185185185,none
Wine,9,7,sfa,0.4194401708139536,none
Wine,9,7,sfa,0.421906831730815,var
Wine,9,7,spartan,0.527471471110535,woDAA
Wine,9,7,spartan,0.6076200013323363,dp_debug-reg7-delta0.5
Wine,10,7,sax,0.0185185185185185,none
Wine,10,7,sfa,0.4393919975097243,none
Wine,10,7,sfa,0.4416712725120962,var
Wine,10,7,spartan,0.5755850893156435,woDAA
Wine,10,7,spartan,0.6179368559023103,dp_debug-reg7-delta0.5
Wine,4,8,sax,0.0185185185185185,none
Wine,4,8,sfa,0.2206905862898588,none
Wine,4,8,sfa,0.2245399252710047,var
Wine,4,8,spartan,0.2656149434336775,woDAA
Wine,4,8,spartan,0.4855012419753158,dp_debug-reg7-delta0.5
Wine,5,8,sax,0.0185185185185185,none
Wine,5,8,sfa,0.2975269963339933,none
Wine,5,8,sfa,0.2932040767912295,var
Wine,5,8,spartan,0.3209167225653719,woDAA
Wine,5,8,spartan,0.4983999475335457,dp_debug-reg7-delta0.5
Wine,6,8,sax,0.0185185185185185,none
Wine,6,8,sfa,0.3329543095448822,none
Wine,6,8,sfa,0.3320632551881838,var
Wine,6,8,spartan,0.3922974996974999,woDAA
Wine,6,8,spartan,0.5028724684012512,dp_debug-reg7-delta0.5
Wine,7,8,sax,0.0185185185185185,none
Wine,7,8,sfa,0.3758001935365982,none
Wine,7,8,sfa,0.3695459365786322,var
Wine,7,8,spartan,0.4688710968673241,woDAA
Wine,7,8,spartan,0.5058184624416904,dp_debug-reg7-delta0.5
Wine,8,8,sax,0.0185185185185185,none
Wine,8,8,sfa,0.4014684723743689,none
Wine,8,8,sfa,0.4046831050443531,var
Wine,8,8,spartan,0.508631788072249,woDAA
Wine,8,8,spartan,0.6085837548333074,dp_debug-reg7-delta0.5
Wine,9,8,sax,0.0185185185185185,none
Wine,9,8,sfa,0.4341304640377069,none
Wine,9,8,sfa,0.4377906657278517,var
Wine,9,8,spartan,0.5311013702356184,woDAA
Wine,9,8,spartan,0.6188477690433913,dp_debug-reg7-delta0.5
Wine,10,8,sax,0.0185185185185185,none
Wine,10,8,sfa,0.4544670885902446,none
Wine,10,8,sfa,0.4570673484417251,var
